Empresa;Ação;P/L;P/VP;DY;ROE;Valor;Valor Alvo;Volume
BBAS3;Banco do Brasil ;4.06;0.8;9,61%;19,71%;45,60;57.13
TAEE11;Taesa ;8.55;1.99;10,51%;23,28%;37,51;36.78
PETR4;Petrobrás ;2.07;0.94;44,49%;45,25%;28,90;30.51
ITSA4;ITAUSA ;6.92;1.2;5,15%;17,32%;9,10;10.48
BBSE3;BB SEGURIDADE ;9.29;6.19;9,24%;66,67%;31,12;38.27
TRPL4;ISA CTEEP ;6.59;0.96;4,31%;14,59%;24,69;25.87
CPLE6;COPEL ;19.61;0.98;4,77%;5,01%;7,70;9.24
KLBN4;Klabin ;4.91;2.24;7,09%;45,67%;4,26;4.93
UNIP6;UNIPAR CARBOCLORO ;6.51;2.88;18,60%;44,27%;70,94;0,00
VALE3;Vale ;3.79;1.65;8,33%;43,44%;68,79;92.04
CMIG4;CEMIG ;6.68;1.18;8,98%;17,71%;12,24;12.73
GOAU4;METALURGICA GERDAU ;3.14;0.7;10,78%;22,34%;11,73;14.63
AGRO3;BRASILAGRO ;41.99;1.17;13,87%;2,79%;23,35;37.40
SAPR4;Sanepar ;5.38;0.7;6,98%;12,95%;4,20;4.72
TAEE4;Taesa ;8.55;1.99;10,28%;23,28%;12,51;0,00
WEGE3;WEG ;35.18;10.82;1,45%;30,74%;38,31;44.94
MRFG3;MARFRIG ;1.35;0.98;23,82%;72,53%;7,01;10.85
KLBN11;Klabin ;4.96;2.26;7,05%;45,67%;21,49;24.64
BBDC3;Banco Bradesco ;7.84;0.93;6,43%;11,91%;14,25;0,00
CMIN3;CSN MINERAÇÃO ;9.29;2.1;19,71%;22,56%;4,62;5.25
CXSE3;CAIXA SEGURIDADE ;9.84;2.71;8,03%;27,48%;10,62;11.55
AESB3;AES BRASIL ;-;-;0,87%;2,88%;12,40;11.98
SAPR11;Sanepar ;5.39;0.7;6,85%;12,95%;21,01;24.19
BBDC4;Banco Bradesco ;9.1;1.08;6,09%;11,91%;16,55;17.52
ENAT3;ENAUTA PARTICIPAÇÕES ;6.11;0.88;1,09%;14,37%;13,79;17.97
USIM5;USIMINAS ;10.24;0.39;4,48%;3,80%;7,34;8.99
RANI3;CELULOSE IRANI ;6.04;1.78;8,75%;29,47%;8,55;10.47
EGIE3;ENGIE BRASIL ;12.23;3.84;3,53%;31,37%;43,46;44.54
ABCB4;BANCO ABC BRASIL ;4.88;0.75;6,15%;15,40%;17,63;23.48
ENBR3;EDP BRASIL ;13.76;1.21;6,08%;8,82%;23,34;23.20
TASA4;TAURUS ARMAS ;5.35;1.84;8,48%;34,40%;15,25;0,00
SANB11;SANTANDER ;9.88;1.02;5,82%;10,35%;30,55;29.19
CSAN3;COSAN ;-137.16;1.67;2,47%;-1,22%;17,44;24.39
ITUB4;Banco Itau Unibanco ;8.84;1.57;4,63%;17,72%;27,42;31.12
ITSA3;ITAUSA ;6.98;1.21;4,52%;17,32%;9,18;10.48
B3SA3;B3 ;20.42;4.19;2,70%;20,51%;14,79;13.98
BRSR6;BANCO BANRISUL ;5.85;0.56;6,98%;9,58%;13,09;12.29
KLBN3;Klabin ;5.11;2.33;6,87%;45,67%;4,43;9.86
PETR3;Petrobrás ;2.31;1.04;40,00%;45,25%;32,19;34.80
PSSA3;PORTO SEGURO ;12.89;1.53;2,77%;11,88%;25,77;29.13
TAEE3;Taesa ;8.57;2;10,34%;23,28%;12,54;0,00
GGBR3;GERDAU ;3.35;0.81;16,14%;24,08%;22,30;33.57
VIVT3;VIVO  TELEFÔNICA BRASIL ;17.07;1.03;5,70%;6,05%;42,71;47.77
SANB4;SANTANDER ;10.47;1.08;5,71%;10,35%;16,20;14.78
KEPL3;KEPLER WEBER ;4.62;2.42;11,56%;52,26%;8,75;14.50
CPLE3;COPEL ;17.78;0.89;4,78%;5,01%;6,98;9.22
BRAP4;BRADESPAR ;2.48;1.19;13,01%;48,04%;22,52;32.00
AURE3;AUREN ENERGIA S.A ;4.87;0.92;10,59%;18,80%;14,17;16.72
SANB3;SANTANDER ;9.21;0.95;5,96%;10,35%;14,25;14.78
FESA4;FERBASA ;4.66;1.38;8,68%;29,69%;49,72;0,00
VBBR3;VIBRA ENERGIA S.A. ;15.77;1.61;4,26%;10,19%;17,50;23.62
FLRY3;FLEURY ;29.98;3.13;1,86%;10,46%;15,96;19.35
ALUP11;Alupar ;12.04;1.2;4,88%;10,00%;29,51;31.54
IRBR3;IRB ;-4.49;0.77;-;-17,13%;38,36;27.81
NEOE3;NEOENERGIA ;4.29;0.72;5,81%;16,86%;16,70;23.07
